"county"	"fips"	"guns"
"1"	"ACCOMACK, VA"	51001	1
"2"	"ADA, ID"	16001	9
"3"	"ADAIR, KY"	21001	7
"4"	"ADAIR, MO"	29001	1
"5"	"ADAMS, CO"	8001	15
"6"	"ADAMS, IL"	17001	14
"7"	"ADAMS, IN"	18001	4
"8"	"ADAMS, MS"	28001	50
"9"	"ADAMS, NE"	31001	4
"10"	"ADAMS, OH"	39001	3
"11"	"ADAMS, PA"	42001	2
"12"	"ADAMS, WI"	55001	15
"13"	"AIKEN, SC"	45003	4
"14"	"AITKIN, MN"	27001	3
"15"	"ALACHUA, FL"	12001	4
"16"	"ALAMANCE, NC"	37001	2
"17"	"ALAMEDA, CA"	6001	26
"18"	"ALAMOSA, CO"	8003	2
"19"	"ALBANY, NY"	36001	1
"20"	"ALBANY, WY"	56001	2
"21"	"ALBEMARLE, VA"	51003	2
"22"	"ALCORN, MS"	28003	60
"23"	"ALEXANDER, NC"	37003	1
"24"	"ALEXANDRIA CITY, VA"	51510	9
"25"	"ALGER, MI"	26003	1
"26"	"ALLEGAN, MI"	26005	10
"27"	"ALLEGANY, MD"	24001	1
"28"	"ALLEGANY, NY"	36003	1
"29"	"ALLEGHENY, PA"	42003	23
"30"	"ALLEN, IN"	18003	216
"31"	"ALLEN, KS"	20001	2
"32"	"ALLEN, KY"	21003	2
"33"	"ALLEN, OH"	39003	14
"34"	"ALPENA, MI"	26007	1
"35"	"AMADOR, CA"	6005	1
"36"	"AMELIA, VA"	51007	1
"37"	"ANDERSON, KS"	20003	2
"38"	"ANDERSON, SC"	45007	8
"39"	"ANDERSON, TN"	47001	11
"40"	"ANDERSON, TX"	48001	1
"41"	"ANDROSCOGGIN, ME"	23001	1
"42"	"ANGELINA, TX"	48005	3
"43"	"ANNE ARUNDEL, MD"	24003	5
"44"	"ANOKA, MN"	27003	18
"45"	"APPANOOSE, IA"	19007	1
"46"	"APPLING, GA"	13001	3
"47"	"APPOMATTOX, VA"	51011	1
"48"	"ARAPAHOE, CO"	8005	18
"49"	"ARKANSAS, AR"	5001	21
"50"	"AROOSTOOK, ME"	23003	2
"51"	"ASHE, NC"	37009	5
"52"	"ASHLAND, OH"	39005	39
"53"	"ASHLAND, WI"	55003	1
"54"	"ASHLEY, AR"	5003	12
"55"	"ASHTABULA, OH"	39007	5
"56"	"ATHENS, OH"	39009	4
"57"	"ATLANTIC, NJ"	34001	3
"58"	"ATOKA, OK"	40005	1
"59"	"ATTALA, MS"	28007	81
"60"	"AUDRAIN, MO"	29007	2
"61"	"AUGLAIZE, OH"	39011	8
"62"	"AUTAUGA, AL"	1001	1
"63"	"BAILEY, TX"	48017	1
"64"	"BALDWIN, AL"	1003	5
"65"	"BALDWIN, GA"	13009	6
"66"	"BALLARD, KY"	21007	5
"67"	"BALTIMORE CITY, MD"	24510	4
"68"	"BALTIMORE, MD"	24005	8
"69"	"BANDERA, TX"	48019	2
"70"	"BANNOCK, ID"	16005	1
"71"	"BARBOUR, AL"	1005	4
"72"	"BARNSTABLE, MA"	25001	1
"73"	"BARREN, KY"	21009	9
"74"	"BARRON, WI"	55005	12
"75"	"BARROW, GA"	13013	2
"76"	"BARRY, MI"	26015	8
"77"	"BARTHOLOMEW, IN"	18005	25
"78"	"BARTON, KS"	20009	3
"79"	"BARTON, MO"	29011	2
"80"	"BARTOW, GA"	13015	3
"81"	"BAXTER, AR"	5005	13
"82"	"BAY, FL"	12005	24
"83"	"BAY, MI"	26017	2
"84"	"BEAUFORT, SC"	45013	9
"85"	"BEAVER, PA"	42007	9
"86"	"BECKER, MN"	27005	2
"87"	"BEDFORD, PA"	42009	1
"88"	"BEDFORD, TN"	47003	10
"89"	"BEDFORD, VA"	51019	2
"90"	"BEE, TX"	48025	2
"91"	"BELL, KY"	21013	22
"92"	"BELL, TX"	48027	61
"93"	"BELMONT, OH"	39013	3
"94"	"BELTRAMI, MN"	27007	3
"95"	"BENT, CO"	8011	1
"96"	"BENTON, AR"	5007	14
"97"	"BENTON, IA"	19011	5
"98"	"BENTON, IN"	18007	1
"99"	"BENTON, MN"	27009	3
"100"	"BENTON, MO"	29015	1
"101"	"BENTON, MS"	28009	7
"102"	"BENTON, OR"	41003	1
"103"	"BENTON, TN"	47005	7
"104"	"BENTON, WA"	53005	3
"105"	"BERKELEY, SC"	45015	5
"106"	"BERKELEY, WV"	54003	2
"107"	"BERKS, PA"	42011	7
"108"	"BERKSHIRE, MA"	25003	1
"109"	"BERNALILLO, NM"	35001	27
"110"	"BERRIEN, MI"	26021	89
"111"	"BEXAR, TX"	48029	64
"112"	"BIBB, AL"	1007	6
"113"	"BIBB, GA"	13021	31
"114"	"BIG HORN, MT"	30003	2
"115"	"BIG STONE, MN"	27011	1
"116"	"BINGHAM, ID"	16011	4
"117"	"BLACK HAWK, IA"	19013	31
"118"	"BLACKFORD, IN"	18009	5
"119"	"BLADEN, NC"	37017	1
"120"	"BLAINE, ID"	16013	1
"121"	"BLAIR, PA"	42013	4
"122"	"BLANCO, TX"	48031	2
"123"	"BLAND, VA"	51021	1
"124"	"BLOUNT, AL"	1009	1
"125"	"BLOUNT, TN"	47009	10
"126"	"BLUE EARTH, MN"	27013	8
"127"	"BOLIVAR, MS"	28011	272
"128"	"BON HOMME, SD"	46009	1
"129"	"BONNER, ID"	16017	2
"130"	"BONNEVILLE, ID"	16019	7
"131"	"BOONE, AR"	5009	2
"132"	"BOONE, IA"	19015	1
